HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
1,,BD+44 4550,3,36042,,0,5,9.9,+,45,13,45,6.7,A1Vn,
2,,BD-01 4525,6,128569,,0,5,3.8,-,0,30,11,6.29,gG9,
3,33    Psc,BD-06 6357,28,128572,1002,0,5,20.1,-,5,42,27,4.61,K0IIIbCN-0.5,0.014
4,86    Peg,BD+12 5063,87,91701,2004,0,5,42,+,13,23,46,5.51,G5III,
5,,BD+57 2865,123,21085,,0,6,16,+,58,26,12,5.96,G5V,0.047
6,,CD-4914337,142,214963,,0,6,19,-,49,4,30,5.7,G1IV,0.05
7,10    Cas,BD+63 2107,144,10978,2005,0,6,26.5,+,64,11,46,5.59,B9III,
8,,BD+28 4704,166,73743,,0,6,36.8,+,29,1,17,6.13,K0V,0.067
9,,CD-23    4,203,166053,1003,0,6,50.1,-,23,6,27,6.18,A7V,
10,,BD-18 6428,256,147090,,0,7,18.2,-,17,23,11,6.19,A6Vn,
11,,BD-03    2,315,128595,,0,7,44.1,-,2,32,56,6.43,B8IIIpSi,
12,,CD-23   13,319,166066,,0,7,46.8,-,22,30,32,5.94,A2Vp:,
13,,CD-34   17,344,192367,,0,8,3.5,-,33,31,46,5.68,K1III,
14,,BD-03    3,352,128602,2006,0,8,12.1,-,2,26,52,6.07,K2III+F,
15,21Alp And,BD+28    4,358,73765,1,0,8,23.3,+,29,5,26,2.06,B8IVpMnHg,0.032
16,,BD-09    5,360,128604,,0,8,17.4,-,8,49,26,5.99,gG8,
17,,BD+35    8,400,53677,,0,8,41,+,36,37,36,6.19,F8IV,0.044
18,,BD-18    3,402,147103,,0,8,33.4,-,17,34,39,6.06,M0III,
19,,BD+24    3,417,73769,,0,8,52.2,+,25,27,46,6.23,K0III,
20,,BD+78    1,431,4048,,0,9,20.2,+,79,42,53,6.01,A7IV,0.002
21,11Bet Cas,BD+58    3,432,21133,2,0,9,10.7,+,59,8,59,2.27,F2III-IV,0.072
22,87    Peg,BD+17    7,448,91734,,0,9,2.4,+,18,12,43,5.53,G9III,
23,,CP-54   19,469,231943,,0,9,2.4,-,54,0,7,6.33,G4IV,0.009
24,Kap1Scl,CD-28   16,493,166083,,0,9,21,-,27,59,16,5.42,F2V,0.023
25,Eps Phe,CD-46   18,496,214983,3,0,9,24.7,-,45,44,51,3.88,K0III,0.066
26,34    Psc,BD+10    8,560,91750,,0,10,2.3,+,11,8,44,5.51,B9Vn,0.017
27,22    And,BD+45   17,571,36123,4,0,10,19.3,+,46,4,20,5.03,F2II,-0.002
28,,BD+56   11,584,21162,,0,10,29.7,+,57,9,56,6.74,B7IV,
29,,BD-06   11,587,128621,,0,10,18.8,-,5,14,55,5.84,K1III,
30,Gam3Oct,CP-82    4,636,258215,3971,0,10,2.1,-,82,13,26,5.28,G8III,
31,,BD-13   13,645,147127,2008,0,10,42.8,-,12,34,48,5.85,K0IV,
32,,CP-73    4,661,255642,,0,10,38.6,-,73,13,28,6.64,F2V+F6V,
33,6    Cet,BD-16   17,693,147133,,0,11,15.9,-,15,28,5,4.89,F7V,0.067
34,Kap2Scl,CD-28   26,720,166103,5,0,11,34.4,-,27,47,59,5.41,K5III,
35,The Scl,CD-35   42,739,192388,6,0,11,44,-,35,7,59,5.25,F4V,0.034
36,,BD+47   21,743,36148,,0,11,59.1,+,48,9,9,6.16,gK4,
