
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Acamar               Eri   2.88  13847  18622  44.565311   -40.304672 
Achernar             Eri   0.45   7588  10144  24.428523   -57.236753 
Achird               Cas   3.46   3821   4614  12.276213    57.815187 
Acrab                Sco   2.56  78820 144217 241.359300   -19.805453 
Acrux                Cru   1.33  60718 108248 186.649563   -63.099093 
Acubens              Cnc   4.26  44066  76756 134.621761    11.857700 
Adhafera             Leo   3.43  50335  89025 154.172567    23.417312 
Adhara               CMa   1.50  33579  52089 104.656453   -28.972086 
Adhil                And   4.87   6411   8207  20.585080    45.528778 
Ain                  Tau   3.53  20889  28305  67.154163    19.180435 
Ainalrami            Sgr   4.86  92761 174974 283.542404   -22.744840 
Aladfar              Lyr   4.43  94481 180163 288.439531    39.145970 
Alasia               Ser   7.95  90004 168746 275.457428   -11.922682 
Albaldah             Sgr   2.88  94141 178524 287.440971   -21.023615   
Albali               Aqr   3.78 102618 198001 311.918969    -9.495775   
Albireo              Cyg   3.37  95947 183912 292.680351    27.959692   
Alchiba              Crv   4.02  59199 105452 182.103402   -24.728875   
Alcor                UMa   3.99  65477 116842 201.306403    54.987954   
Alcyone              Tau   2.85  17702  23630  56.871152    24.105136   
Aldebaran            Tau   0.87  21421  29139  68.980163    16.509302   
Alderamin            Cep   2.45 105199 203280 319.644885    62.585574   
Aldhanab             Gru   3.00 108085 207971 328.482192   -37.364855   
Aldhibah             Dra   3.17  83895 155763 257.196650    65.714684   
Aldulfin             Del   4.03 101421 195810 308.303216    11.303261   
Alfirk               Cep   3.23 106032 205021 322.164987    70.560715   
Algedi               Cap   3.58 100064 192947 304.513566   -12.544852   
Algenib              Peg   2.83   1067    886   3.308963    15.183594 
Algieba              Leo   2.61  50583  89484 154.993144    19.841489 
Algol                Per   2.09  14576  19356  47.042215    40.955648  
Algorab              Crv   2.94  60965 108767 187.466063   -16.515431  
Alhena               Gem   1.93  31681  47105  99.427960    16.399280  
Alioth               UMa   1.76  62956 112185 193.507290    55.959823  
Aljanah              Cyg   2.48 102488 197989 311.552843    33.970257  
Alkaid               UMa   1.85  67301 120315 206.885157    49.313267  
Alkalurops           Boo   4.31  75411 137391 231.122618    37.377169  
Alkaphrah            UMa   4.16  44471  77327 135.906365    47.156525  
Alkarab              Peg   4.42 115623 220657 351.344931    23.404100  
Alkes                Crt   4.08  53740  95272 164.943604   -18.298783  
Almaaz               Aur   3.03  23416  31964  75.492219    43.823307  
Almach               And   2.10   9640  12533  30.974804    42.329725  
Alnair               Gru   1.73 109268 209952 332.058270   -46.960974  
Alnasl               Sgr   2.98  88635 165135 271.452025   -30.424100 
Alnilam              Ori   1.69  26311  37128  84.053389    -1.201919 
Alnitak              Ori   1.74  26727  37742  85.189694    -1.942574 
Alniyat              Sco   2.90  80112 147165 245.297149   -25.592792 
Alphard              Hya   1.99  46390  81797 141.896847    -8.658602 
Alphecca             CrB   2.22  76267 139006 233.671950    26.714693 
Alpheratz            And   2.07    677    358   2.096916    29.090431 
Alpherg              Psc   3.83   7097   9270  22.870873    15.345823 
Alrakis              Dra   5.55  83608 154906 256.333807    54.470078 
Alrescha             Psc   3.82   9487  12446  30.511772     2.763735 
Alruba               Dra   5.75  86782 161693 265.996568    53.801715 
Alsafi               Dra   4.67  96100 185144 293.089960    69.661176 
Alsciaukat           Lyn   4.25  41075  70272 125.708792    43.188131 
Alsephina            Vel   1.99  42913  74956 131.175944   -54.708819 
Alshain              Aql   3.71  98036 188512 298.828304     6.406763 
Alshat               Cap   4.77 100310 193432 305.165898   -12.759079 
Altair               Aql   0.76  97649 187642 297.695827     8.868321 
Altais               Dra   3.07  94376 180711 288.138750    67.661541 
Alterf               Leo   4.32  46750  82308 142.930115    22.967970 
Aludra               CMa   2.45  35904  58350 111.023760   -29.303106 
